
1,"# Entities
- B-MISC
- I-MISC
- B-LOC

# Text
"" Neither the National Socialists ( Nazis ) nor the communists dared to kidnap an American citizen , "" he shouted , in an oblique reference to his extradition to Germany from Denmark . ""","{'B-MISC': ['National', 'Nazis', 'American'], 'I-MISC': ['Socialists'], 'B-LOC': ['Germany', 'Denmark']}",CONLL2003
2,"# Entities
- B-LOC

# Text
TUNIS 1996-08-22",{'B-LOC': ['TUNIS']},CONLL2003
3,"# Entities
- B-ORG
- I-ORG

# Text
Werder Bremen 3 0 1 2 4 6 1","{'B-ORG': ['Werder'], 'I-ORG': ['Bremen']}",CONLL2003
4,"# Entities
- B-MISC
- B-LOC

# Text
Heavy fighting broke out between two rival Kurdish factions in northern Iraq at midnight Sunday and at least 29 people were killed , one of the groups said on Monday .","{'B-MISC': ['Kurdish'], 'B-LOC': ['Iraq']}",CONLL2003
5,"# Entities
- B-LOC

# Text
LONDON 1996-08-28",{'B-LOC': ['LONDON']},CONLL2003
6,"# Entities
- B-PER
- I-PER
- B-ORG
- I-ORG

# Text
-- Jonathan Birt , London Newsroom +44 171 542 7717","{'B-PER': ['Jonathan'], 'I-PER': ['Birt'], 'B-ORG': ['London'], 'I-ORG': ['Newsroom']}",CONLL2003
7,"# Entities
- B-LOC
- I-LOC
- B-MISC
- I-MISC

# Text
New York Dow Jones industrial average -- 5,778.00 ( May 22/96 )","{'B-LOC': ['New'], 'I-LOC': ['York'], 'B-MISC': ['Dow'], 'I-MISC': ['Jones']}",CONLL2003
8,"# Entities
- B-ORG
- I-ORG
- B-MISC

# Text
Officials from the Organisation for Security and Cooperation in Europe ( OSCE ) are considering the postponement following allegations of serious irregularities in the registration of Serb refugees .","{'B-ORG': ['Organisation', 'OSCE'], 'I-ORG': ['for', 'Security', 'and', 'Cooperation', 'in', 'Europe'], 'B-MISC': ['Serb']}",CONLL2003
9,"# Entities
- B-ORG

# Text
It said the KDP was responsible for breaking the previous ceasefire by refusing to endorse it publicly .",{'B-ORG': ['KDP']},CONLL2003
10,"# Entities
- B-PER
- B-MISC
- I-MISC
- B-LOC

# Text
Smirnov said the Olympic Committee might ask the government to take measures to protect the country 's best athletes , some of whom have already chosen to live abroad for fear of a surge in crime in post-Soviet Russia .","{'B-PER': ['Smirnov'], 'B-MISC': ['Olympic', 'post-Soviet'], 'I-MISC': ['Committee'], 'B-LOC': ['Russia']}",CONLL2003
11,"# Entities
- B-ORG
- I-ORG
- B-PER
- I-PER

# Text
"" We have not had contact with the kidnappers nor do we have any leads to take us to where they might be held , "" Chief of Judicial Police Manuel Alvarado told Reuters .","{'B-ORG': ['Judicial', 'Reuters'], 'I-ORG': ['Police'], 'B-PER': ['Manuel'], 'I-PER': ['Alvarado']}",CONLL2003
12,"# Entities
- B-PER

# Text
In a written statement , distributed by the Clinton campaign , Morris avoided comment on published allegations that he had engaged in a year-long affair with a $ 200-an-hour prostitute .","{'B-PER': ['Clinton', 'Morris']}",CONLL2003
13,"# Entities
- B-LOC

# Text
Benin lead 4-1 from the first leg",{'B-LOC': ['Benin']},CONLL2003
14,"# Entities
- B-MISC
- B-PER
- I-PER

# Text
"" I get the feeling that everything is done here for the American players and they forget about all the other players , "" said Stich , who lost the 1994 Open final to Andre Agassi .","{'B-MISC': ['American', 'Open'], 'B-PER': ['Stich', 'Andre'], 'I-PER': ['Agassi']}",CONLL2003
15,"# Entities


# Text
Now , I resign so I will not become the issue , "" he said .",{},CONLL2003
16,"# Entities
- B-MISC

# Text
The loan is at LIBOR plus one percent , it said .",{'B-MISC': ['LIBOR']},CONLL2003
17,"# Entities


# Text
The brake action is very poor and the tower said it 's medium .",{},CONLL2003
18,"# Entities
- B-LOC

# Text
Venezuela FinMin to make statement midday Thursday .",{'B-LOC': ['Venezuela']},CONLL2003
19,"# Entities


# Text
Dividend payable October 8",{},CONLL2003
